state,year,beercons,beertax,cigtax
9,2006,1.415588,.5260912,33.9
9,2007,1.380747,.511522,33.9
10,1981,1.216413,.8474147,12
10,1982,1.226233,.7982384,12
10,1983,1.249486,.7733936,12
10,1984,1.290278,.7413859,12
10,1985,1.277874,.7158922,12
10,1986,1.322917,.7028285,12
10,1987,1.321528,.6780809,12
10,1988,1.315409,.6511411,12
10,1989,1.274127,.6212097,12
10,1990,1.314349,.589365,12
10,1991,1.254412,.7787078,12
10,1992,1.326707,.7559515,12
10,1993,1.341159,.7339792,12
10,1994,1.281409,.7156545,12
10,1995,1.32054,.6959318,12
10,1996,1.35132,.675972,12
10,1997,1.324624,.66081,12
10,1998,1.344972,.6506749,12
10,1999,1.368437,.6366147,12
10,2000,1.316931,.6159117,12
10,2001,1.284105,.5975211,12
10,2002,1.299421,.5862908,12
10,2003,1.281254,.576413,12
10,2004,1.273239,.5614611,37
10,2005,1.217722,.543062,37
10,2006,1.262242,.5260912,37
10,2007,1.256614,.511522,37
11,1981,1.688712,.4843784,9.099999
11,1982,1.595883,.4562694,9.099999
11,1983,1.59048,.4420683,9.099999
11,1984,1.545029,.4237729,9.099999
11,1985,1.491572,.4092008,9.099999
11,1986,1.496745,.4017336,9.099999
11,1987,1.461589,.387588,11.29397
11,1988,1.398906,.3721893,18
11,1989,1.386807,.3550807,18
11,1990,1.484,.3368784,18
11,1991,1.438162,.5364171,18
11,1992,1.459709,.5207413,18
11,1993,1.397541,.5056056,18
11,1994,1.375244,.4929825,18
11,1995,1.283688,.4793964,28
11,1996,1.311283,.465647,28
11,1997,1.27239,.4552025,28
11,1998,1.284595,.4482209,28
11,1999,1.292669,.4385355,28
11,2000,1.270645,.4242741,28
11,2001,1.238833,.4116057,28
11,2002,1.258122,.4038696,28
11,2003,1.240715,.3970652,30.38356
11,2004,1.22055,.3867655,57
11,2005,1.182867,.3740911,57
11,2006,1.229754,.3624007,57
11,2007,1.269774,.3523647,57
12,1981,1.573313,.3963696,12
12,1982,1.544996,.3733679,12
12,1983,1.558725,.361747,12
12,1984,1.533058,.3467757,12
12,1985,1.513671,.3348513,12
12,1986,1.54051,.3287409,16.64658
12,1987,1.554275,.3171655,20
12,1988,1.566007,.3045647,20
12,1989,1.5258,.2905645,20
12,1990,1.53589,.2756695,30
12,1991,1.48773,.4776799,30
12,1992,1.446034,.4637206,30
12,1993,1.429538,.4502422,30
12,1994,1.432223,.4390014,43.50137
12,1995,1.419543,.4269029,44
12,1996,1.390023,.4146591,44
12,1997,1.38011,.4053583,44
12,1998,1.401142,.3991411,51.55616
12,1999,1.413541,.42503,58
12,2000,1.381391,.4445993,58
12,2001,1.368856,.4313239,58
12,2002,1.367953,.4232173,58
12,2003,1.349666,.4160869,98.00002
12,2004,1.318244,.4052938,98.00002
12,2005,1.327833,.3920123,98.00002
12,2006,1.331823,.3797619,98.00002
12,2007,1.32533,.369245,98.00002
13,1981,1.412741,.4238724,10.5
13,1982,1.414654,.42,10.5
13,1983,1.396491,.4069277,10.5
13,1984,1.378275,.3900866,10.5
13,1985,1.368081,.3766729,10.5
13,1986,1.371662,.3697993,10.5
13,1987,1.366087,.3567782,10.5
13,1988,1.356089,.3426035,15.5
13,1989,1.332398,.3268548,15.5
13,1990,1.35769,.3100995,15.5
13,1991,1.311033,.5107195,15.5
13,1992,1.258146,.4957947,15.5
13,1993,1.240923,.4813841,15.5
13,1994,1.249204,.4693657,15.5
13,1995,1.221439,.4564305,15.5
13,1996,1.229641,.4433398,15.5
13,1997,1.230018,.4333957,15.5
13,1998,1.222923,.4267485,15.5
13,1999,1.26849,.417527,15.5
13,2000,1.250664,.4039489,15.5
13,2001,1.238953,.3918873,15.5
13,2002,1.222277,.3845219,15.5
13,2003,1.199351,.3780435,55.50001
13,2004,1.228308,.3682372,55.50001
13,2005,1.210467,.35617,55.50001
